"local_authority_name","hour","count_date","cars_and_taxis","buses_and_coaches","lgvs"
"Hackney","07:00:00","2018-04-16",486,102,130
"Hammersmith and Fulham","07:00:00","2018-04-16",790,48,193
"Hillingdon","07:00:00","2018-04-16",1398,54,252
"Lewisham","07:00:00","2018-04-16",49,0,6
"Merton","07:00:00","2018-04-16",270,0,52
"Tower Hamlets","07:00:00","2018-04-16",473,78,216
"Wandsworth","07:00:00","2018-04-16",3043,9,800
"Westminster","07:00:00","2018-04-16",42,0,16
"Bromley","08:00:00","2018-04-16",123,7,9
"Croydon","08:00:00","2018-04-16",593,12,67
"Enfield","08:00:00","2018-04-16",5362,39,1565
"Hackney","08:00:00","2018-04-16",580,93,197
"Hammersmith and Fulham","08:00:00","2018-04-16",939,44,212
"Hillingdon","08:00:00","2018-04-16",1415,53,238
"Lewisham","08:00:00","2018-04-16",70,0,7
"Merton","08:00:00","2018-04-16",285,0,48
"Tower Hamlets","08:00:00","2018-04-16",637,58,251
"Wandsworth","08:00:00","2018-04-16",2885,9,616
"Westminster","08:00:00","2018-04-16",91,1,21
"Bromley","09:00:00","2018-04-16",63,5,10
"Croydon","09:00:00","2018-04-16",519,11,69
"Enfield","09:00:00","2018-04-16",4490,45,1420
"Hackney","09:00:00","2018-04-16",503,82,151
"Hammersmith and Fulham","09:00:00","2018-04-16",865,42,225
"Hillingdon","09:00:00","2018-04-16",1079,49,217
"Lewisham","09:00:00","2018-04-16",50,0,11
"Merton","09:00:00","2018-04-16",199,0,50
"Tower Hamlets","09:00:00","2018-04-16",587,61,226
"Wandsworth","09:00:00","2018-04-16",2515,13,625
"Westminster","09:00:00","2018-04-16",77,0,24
"Bromley","10:00:00","2018-04-16",50,7,13
"Croydon","10:00:00","2018-04-16",319,9,53
"Enfield","10:00:00","2018-04-16",3955,34,1384
"Hackney","10:00:00","2018-04-16",499,93,190
"Hammersmith and Fulham","10:00:00","2018-04-16",767,34,229
"Hillingdon","10:00:00","2018-04-16",1210,50,235
"Lewisham","10:00:00","2018-04-16",43,0,17
"Merton","10:00:00","2018-04-16",182,0,51
"Tower Hamlets","10:00:00","2018-04-16",550,61,263
"Wandsworth","10:00:00","2018-04-16",2205,9,590
"Westminster","10:00:00","2018-04-16",82,0,24
"Bromley","11:00:00","2018-04-16",66,5,11
"Croydon","11:00:00","2018-04-16",344,10,64
"Enfield","11:00:00","2018-04-16",3939,38,1441
"Hackney","11:00:00","2018-04-16",490,89,207
"Hammersmith and Fulham","11:00:00","2018-04-16",814,37,212
"Hillingdon","11:00:00","2018-04-16",1406,49,263
"Lewisham","11:00:00","2018-04-16",47,0,15
"Merton","11:00:00","2018-04-16",167,0,41
"Tower Hamlets","11:00:00","2018-04-16",523,62,227
"Wandsworth","11:00:00","2018-04-16",2199,7,654
"Westminster","11:00:00","2018-04-16",76,0,23
"Bromley","12:00:00","2018-04-16",54,7,9
"Croydon","12:00:00","2018-04-16",388,11,51
"Enfield","12:00:00","2018-04-16",4132,39,1468
"Hackney","12:00:00","2018-04-16",504,71,182
"Hammersmith and Fulham","12:00:00","2018-04-16",724,31,202
"Hillingdon","12:00:00","2018-04-16",1374,44,240
"Lewisham","12:00:00","2018-04-16",31,0,15
"Merton","12:00:00","2018-04-16",152,0,41
"Tower Hamlets","12:00:00","2018-04-16",518,67,227
"Wandsworth","12:00:00","2018-04-16",2317,5,630
"Westminster","12:00:00","2018-04-16",76,0,26
"Bromley","13:00:00","2018-04-16",62,7,17
"Croydon","13:00:00","2018-04-16",378,10,69
"Enfield","13:00:00","2018-04-16",4274,38,1401
"Hackney","13:00:00","2018-04-16",508,86,200
"Hammersmith and Fulham","13:00:00","2018-04-16",777,30,206
"Hillingdon","13:00:00","2018-04-16",1703,55,229
"Lewisham","13:00:00","2018-04-16",40,0,6
"Merton","13:00:00","2018-04-16",158,0,34
"Tower Hamlets","13:00:00","2018-04-16",591,62,190
"Wandsworth","13:00:00","2018-04-16",2337,6,592
"Westminster","13:00:00","2018-04-16",68,1,26
"Bromley","14:00:00","2018-04-16",52,6,12
"Croydon","14:00:00","2018-04-16",451,12,77
"Enfield","14:00:00","2018-04-16",4581,40,1482
"Hackney","14:00:00","2018-04-16",506,88,194
"Hammersmith and Fulham","14:00:00","2018-04-16",882,39,205
"Hillingdon","14:00:00","2018-04-16",1724,47,238
"Lewisham","14:00:00","2018-04-16",35,0,10
"Merton","14:00:00","2018-04-16",167,0,30
"Tower Hamlets","14:00:00","2018-04-16",653,67,215
"Wandsworth","14:00:00","2018-04-16",2558,8,635
"Westminster","14:00:00","2018-04-16",74,0,14
"Bromley","15:00:00","2018-04-16",78,5,12
"Croydon","15:00:00","2018-04-16",591,8,70
"Enfield","15:00:00","2018-04-16",4665,37,1595
"Hackney","15:00:00","2018-04-16",525,86,159
"Hammersmith and Fulham","15:00:00","2018-04-16",971,39,202
"Hillingdon","15:00:00","2018-04-16",1749,44,204
"Lewisham","15:00:00","2018-04-16",49,0,9
"Merton","15:00:00","2018-04-16",209,0,31
"Tower Hamlets","15:00:00","2018-04-16",669,59,222
"Wandsworth","15:00:00","2018-04-16",2824,15,793
"Westminster","15:00:00","2018-04-16",85,1,21
"Bromley","16:00:00","2018-04-16",78,6,27
"Croydon","16:00:00","2018-04-16",595,13,79
"Enfield","16:00:00","2018-04-16",5741,42,1664
"Hackney","16:00:00","2018-04-16",610,81,199
"Hammersmith and Fulham","16:00:00","2018-04-16",1038,40,204
"Hillingdon","16:00:00","2018-04-16",1831,54,169
"Lewisham","16:00:00","2018-04-16",60,0,14
"Merton","16:00:00","2018-04-16",251,0,37
"Tower Hamlets","16:00:00","2018-04-16",630,57,184
"Wandsworth","16:00:00","2018-04-16",3216,14,723
"Westminster","16:00:00","2018-04-16",70,1,15
"Bromley","17:00:00","2018-04-16",96,5,17
"Croydon","17:00:00","2018-04-16",652,8,78
"Enfield","17:00:00","2018-04-16",6184,30,1381
"Hackney","17:00:00","2018-04-16",635,84,146
"Hammersmith and Fulham","17:00:00","2018-04-16",1039,39,114
"Hillingdon","17:00:00","2018-04-16",1619,46,152
"Lewisham","17:00:00","2018-04-16",68,0,11
"Merton","17:00:00","2018-04-16",300,0,41
"Tower Hamlets","17:00:00","2018-04-16",685,59,132
"Wandsworth","17:00:00","2018-04-16",3477,12,578
"Westminster","17:00:00","2018-04-16",83,0,16
"Bromley","18:00:00","2018-04-16",88,7,7
"Croydon","18:00:00","2018-04-16",571,11,62
"Enfield","18:00:00","2018-04-16",5480,33,951
"Hackney","18:00:00","2018-04-16",712,76,110
"Hammersmith and Fulham","18:00:00","2018-04-16",1090,37,96
"Hillingdon","18:00:00","2018-04-16",1695,49,173
"Lewisham","18:00:00","2018-04-16",63,0,5
"Merton","18:00:00","2018-04-16",302,0,31
"Tower Hamlets","18:00:00","2018-04-16",714,65,96
"Wandsworth","18:00:00","2018-04-16",3725,13,374
"Westminster","18:00:00","2018-04-16",85,0,8
"Brent","07:00:00","2018-04-17",482,33,126
"Ealing","07:00:00","2018-04-17",322,17,64
"Enfield","07:00:00","2018-04-17",617,33,124
"Hillingdon","07:00:00","2018-04-17",1181,17,220
"Merton","07:00:00","2018-04-17",1466,39,357
"Redbridge","07:00:00","2018-04-17",1145,14,260
"Waltham Forest","07:00:00","2018-04-17",598,15,145
"Brent","08:00:00","2018-04-17",557,15,70
"Ealing","08:00:00","2018-04-17",460,21,66
"Enfield","08:00:00","2018-04-17",777,36,159
"Hillingdon","08:00:00","2018-04-17",1160,15,164
"Merton","08:00:00","2018-04-17",1344,44,267
"Redbridge","08:00:00","2018-04-17",1182,10,189
